0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,class
1,0.2941176471,0.5,0.0604395604,0.25,0.75,1,0.6666666667,0.3333333333,0.125,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.2941176471,1,0.2087912088,1,0.75,0.6666666667,1,0.3333333333,0.4285714286,1,0.3333333333,0,1,0,0,1,1,0,0,1,0,0,1,0
1,0.0294117647,1,0.0274725275,1,1,0.6666666667,1,1,0.3035714286,1,0.3333333333,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3333333333,0.6470588235,0.5,0.8516483516,0,0.5,0.6666666667,0.3333333333,0.6666666667,0.0714285714,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0.3333333333,0.0735294118,0.5,0.0494505495,0,1,0.6666666667,1,0.6666666667,0.1428571429,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,1,0,0
0.6666666667,0.1176470588,0.5,0.0659340659,1,1,0.3333333333,1,0,0.6428571429,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0.3333333333,0.2058823529,0.5,0.1318681319,0.25,0.5,0.6666666667,1,0.6666666667,0.2678571429,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.3333333333,0.2941176471,1,0.3021978022,0,0.25,0.3333333333,1,1,0.0892857143,1,0.3333333333,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.2058823529,0.5,0.1318681319,0,0.5,0.6666666667,1,1,0.8214285714,1,0.3333333333,0,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0.5,0.021978022,0,0.25,0.3333333333,0.6666666667,0,0.0714285714,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0.4705882353,0.5,0.4450549451,1,1,0.6666666667,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.3333333333,0.2941176471,0.5,0.1978021978,0.5,0,0.3333333333,1,1,0.0714285714,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0.3333333333,1,0.5,0.2967032967,0.25,0.5,1,0.3333333333,0.6666666667,0.0892857143,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.0294117647,1,0.010989011,0.25,0.5,0.3333333333,1,0.6666666667,0.5892857143,1,0.3333333333,0,0,0,1,0,1,0,0,1,0,1,0,0
1,0.2941176471,0.5,0.1208791209,0.5,1,0.6666666667,0.3333333333,0.6666666667,0.2857142857,0,0.3333333333,0,1,0,0,0,1,0,0,1,0,0,1,1
1,0.0294117647,0.5,0.2417582418,0,0.25,0.3333333333,1,0.3333333333,0.2321428571,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0.25,0.5,0.0879120879,0,0.5,0.3333333333,0.3333333333,0,0.1071428571,1,0.3333333333,0,1,0,0,0,1,0,0,1,0,0,1,1
0,0.2941176471,0.5,0.1208791209,0,0.25,0.3333333333,1,0,0.2857142857,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0.3333333333,0.2941176471,0.5,0.1593406593,0.25,1,0.6666666667,1,1,0.1964285714,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3333333333,0.3823529412,1,0.2747252747,0,0,1,0.3333333333,0.6666666667,0.1607142857,1,0.3333333333,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0.0735294118,0.5,0.1263736264,0.5,1,0.6666666667,1,1,0.5714285714,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0.3333333333,0.2058823529,1,0.0879120879,0,1,0.3333333333,1,0,0.5178571429,0,0.3333333333,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0.1176470588,0.25,0.1758241758,0.5,0.5,0.3333333333,0.6666666667,0,0.2857142857,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0.2941176471,1,0.1263736264,0.25,0.75,1,0.6666666667,0.3333333333,0.1428571429,1,0.3333333333,0,1,0,1,0,1,0,0,1,0,0,1,0
1,0.4705882353,0.5,0.1978021978,1,1,0.3333333333,1,0,0.4642857143,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0.2058823529,1,0.1098901099,0,0.5,0.3333333333,0,0.6666666667,0.1071428571,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.4705882353,0.5,0.489010989,1,0.5,0.6666666667,1,1,0.2857142857,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
0.3333333333,0.2941176471,1,0.6428571429,0,0.5,0.6666666667,0.6666666667,0.6666666667,0.3571428571,1,0.3333333333,1,1,0,0,0,0,1,0,1,0,0,0,1
1,0.8235294118,0.5,0.5604395604,0,1,0.6666666667,1,0.3333333333,0.4107142857,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,0.4705882353,1,0.1703296703,1,1,0.6666666667,0.3333333333,0.6666666667,0.5714285714,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.0882352941,0.5,0.0384615385,1,0.75,0.3333333333,0.6666666667,0.3333333333,0.375,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0.4705882353,1,0.2857142857,0,0.5,0.6666666667,0.3333333333,0.3333333333,0.1607142857,1,0.3333333333,0,0,0,0,0,0,0,0,1,0,0,1,0
0.6666666667,0.3823529412,1,0.1923076923,1,1,0.6666666667,1,0.3333333333,0.5357142857,0.5,0.3333333333,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0.3823529412,0.5,0.1593406593,0,0.25,0,1,0.3333333333,0.2142857143,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
0,0.3823529412,0.5,0.1208791209,0,0.75,0.3333333333,1,0,0.0714285714,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
0.3333333333,0.2941176471,0.5,0.1483516484,0.25,0.25,0.6666666667,0,0.6666666667,0.1785714286,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.2058823529,0.5,0.1263736264,0,0.5,0.6666666667,0.3333333333,0.6666666667,0.0535714286,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.3823529412,1,0.3076923077,0,0.75,0.3333333333,0.3333333333,0.6666666667,0.1071428571,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
0.3333333333,0.2058823529,1,0.1868131868,0,0,1,0.6666666667,0.6666666667,0.375,1,0.6666666667,1,1,0,0,0,1,0,0,1,1,0,0,0
0.3333333333,0.3823529412,1,0.4505494505,0,0.75,0.6666666667,0.3333333333,0.3333333333,0.5357142857,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.0882352941,0.5,0.1428571429,0.25,0.5,0.6666666667,0.3333333333,0,0.2321428571,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1,0.2058823529,0.5,0.0989010989,0,0.75,0.6666666667,0,0.6666666667,0.2678571429,0.5,0.3333333333,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0.2058823529,0.5,0.032967033,0,0,0.3333333333,0,0,0.1428571429,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
0.3333333333,0.0735294118,0.5,0.043956044,0,0.5,0.3333333333,0.3333333333,0.6666666667,0.1785714286,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
1,0.2058823529,1,0.0879120879,0,0.5,0.6666666667,0.3333333333,0.6666666667,0.0892857143,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
0.6666666667,0.2941176471,0.5,0.0934065934,0,0.5,0.6666666667,0.3333333333,0,0.125,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.25,0.75,0.1318681319,0.5,0.25,0.6666666667,0.3333333333,0,0.3928571429,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
0,0.2941176471,0.5,0.1593406593,0,0.25,0.3333333333,0,0.3333333333,0.1428571429,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1
0,0.1176470588,0.5,0.1318681319,0,0.5,0,0,0.6666666667,0.4107142857,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.1617647059,0.5,0.0879120879,0,0.25,0.3333333333,0,0.3333333333,0.4821428571,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.3333333333,0.2941176471,0.5,0.1593406593,0.25,0.25,1,0.3333333333,0.6666666667,0.0535714286,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1,0.0882352941,1,0.1043956044,0,0.25,0.3333333333,0.6666666667,0,0.0714285714,1,0.3333333333,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0.2941176471,0.75,0.0604395604,0,0,0.6666666667,0.3333333333,0,0.4285714286,1,0.3333333333,1,0,0,1,0,1,0,0,0,0,0,1,1
1,0.1176470588,1,0.0384615385,1,1,0.6666666667,1,0,0.8214285714,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.1617647059,0.5,0.1373626374,0,0.25,0.6666666667,0.6666666667,0.3333333333,0.1428571429,0,0.3333333333,0,0,0,0,0,1,0,0,1,0,1,0,0
0.6666666667,0.2941176471,0.5,0.0384615385,0,0.75,0.6666666667,0.6666666667,1,0.3392857143,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
0.6666666667,0.0294117647,0.5,0.0274725275,0.75,0.25,1,0.3333333333,0,0.1428571429,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
0,0.4705882353,1,0.5164835165,0,0.75,0.6666666667,1,0.6666666667,0.0892857143,1,0.3333333333,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0.1176470588,0.5,0.0824175824,0,0.5,0.6666666667,0.3333333333,0,0.1428571429,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.2941176471,1,0.0769230769,0,0.75,0.6666666667,0.6666666667,0.3333333333,0.375,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.2941176471,0.5,0.1593406593,0.5,1,0.6666666667,0.6666666667,1,0.2321428571,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0.6470588235,1,0.478021978,1,0.75,0.6666666667,0,1,0.2857142857,1,0.3333333333,0,1,0,0,1,1,0,0,0,0,0,1,0
0.3333333333,0.0441176471,0.5,0.1318681319,0,0.5,0.6666666667,0.3333333333,0,0.2857142857,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,0.0714285714,0,0.75,0.6666666667,0,0,0.4107142857,1,0.3333333333,1,0,0,0,0,1,0,0,1,0,1,0,0
0,0.1176470588,0.5,0.0274725275,0.25,0.75,1,0,0.3333333333,0.0178571429,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0.1176470588,0.5,0.0274725275,0,1,0.6666666667,1,0,0.6785714286,0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0.2941176471,0.5,0.0659340659,0,0.5,0.6666666667,0.3333333333,0,0.2142857143,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
0.3333333333,0.0735294118,0.5,0.0824175824,0,0.25,0.3333333333,0.3333333333,0.6666666667,0.0535714286,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0,0.2941176471,0.5,0.0824175824,0,0.25,0.6666666667,0,0.3333333333,0.0892857143,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,0.2941176471,0.75,0.1263736264,0,1,0.6666666667,1,0.6666666667,0.5,1,0.3333333333,1,0,0,1,0,1,0,0,1,0,1,0,1
1,0.1176470588,0.5,0.0274725275,0,1,0.6666666667,1,0.6666666667,0.3928571429,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1,0.1176470588,1,0.043956044,1,0.75,0.3333333333,1,0,0.0714285714,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.2941176471,0.5,0.3956043956,0,0.5,0.6666666667,1,0.3333333333,0.4285714286,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
1,0.0882352941,0.5,0.0604395604,1,1,0.6666666667,0.3333333333,0.3333333333,0.4642857143,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0
1,0.0294117647,1,0.0549450549,1,0.5,1,0.3333333333,0.3333333333,0.1428571429,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.2941176471,0.5,0.0604395604,0,0.75,0.6666666667,0,0,0.1071428571,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.2058823529,0.5,0.1263736264,0,0.5,0.6666666667,1,0,0.4285714286,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.1617647059,1,0.0714285714,1,1,0.6666666667,1,0.3333333333,0.7857142857,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.1176470588,0,0.0494505495,0,0.75,0.6666666667,0.6666666667,0,0.1607142857,1,0.3333333333,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.1176470588,1,0.0384615385,0,0,0.3333333333,0.3333333333,0.3333333333,0.3392857143,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
